Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2022-04-30T00:00Z,266,262,high
2022-04-30T00:30Z,266,267,high
2022-04-30T01:00Z,267,263,high
2022-04-30T01:30Z,266,266,high
2022-04-30T02:00Z,266,271,high
2022-04-30T02:30Z,265,266,high
2022-04-30T03:00Z,266,265,high
2022-04-30T03:30Z,266,263,high
2022-04-30T04:00Z,263,269,high
2022-04-30T04:30Z,263,264,high
2022-04-30T05:00Z,258,267,high
2022-04-30T05:30Z,262,259,high
2022-04-30T06:00Z,261,259,high
2022-04-30T06:30Z,258,261,high
2022-04-30T07:00Z,251,260,high
2022-04-30T07:30Z,244,251,high
2022-04-30T08:00Z,237,246,high
2022-04-30T08:30Z,230,239,high
2022-04-30T09:00Z,227,231,high
2022-04-30T09:30Z,221,224,high
2022-04-30T10:00Z,212,212,high
2022-04-30T10:30Z,203,206,moderate
2022-04-30T11:00Z,198,201,moderate
2022-04-30T11:30Z,198,195,moderate
2022-04-30T12:00Z,196,192,moderate
2022-04-30T12:30Z,195,189,moderate
2022-04-30T13:00Z,192,196,moderate
2022-04-30T13:30Z,192,191,moderate
2022-04-30T14:00Z,193,191,moderate
2022-04-30T14:30Z,198,201,moderate
2022-04-30T15:00Z,204,206,moderate
2022-04-30T15:30Z,215,216,high
2022-04-30T16:00Z,228,227,high
2022-04-30T16:30Z,232,224,high
2022-04-30T17:00Z,233,231,high
2022-04-30T17:30Z,233,235,high
2022-04-30T18:00Z,234,238,high
2022-04-30T18:30Z,237,236,high
2022-04-30T19:00Z,238,233,high
2022-04-30T19:30Z,238,236,high
2022-04-30T20:00Z,237,237,high
2022-04-30T20:30Z,239,236,high
2022-04-30T21:00Z,236,223,high
2022-04-30T21:30Z,239,231,high
2022-04-30T22:00Z,234,225,high
2022-04-30T22:30Z,226,229,high
2022-04-30T23:00Z,225,216,high
2022-04-30T23:30Z,230,225,high
2022-05-01T00:00Z,230,221,high
2022-05-01T00:30Z,231,232,high
2022-05-01T01:00Z,234,234,high
2022-05-01T01:30Z,237,228,high
2022-05-01T02:00Z,236,224,high
2022-05-01T02:30Z,238,229,high
2022-05-01T03:00Z,241,234,high
2022-05-01T03:30Z,242,238,high
2022-05-01T04:00Z,243,240,high
2022-05-01T04:30Z,243,238,high
2022-05-01T05:00Z,243,246,high
2022-05-01T05:30Z,245,256,high
2022-05-01T06:00Z,244,250,high
2022-05-01T06:30Z,246,249,high
2022-05-01T07:00Z,247,247,high
2022-05-01T07:30Z,248,243,high
2022-05-01T08:00Z,246,244,high
2022-05-01T08:30Z,242,248,high
2022-05-01T09:00Z,240,248,high
2022-05-01T09:30Z,241,240,high
2022-05-01T10:00Z,238,235,high
2022-05-01T10:30Z,230,234,high
2022-05-01T11:00Z,227,237,high
2022-05-01T11:30Z,232,233,high
2022-05-01T12:00Z,232,232,high
2022-05-01T12:30Z,228,234,high
2022-05-01T13:00Z,232,234,high
2022-05-01T13:30Z,233,229,high
2022-05-01T14:00Z,237,231,high
2022-05-01T14:30Z,245,233,high
2022-05-01T15:00Z,247,238,high
2022-05-01T15:30Z,251,247,high
2022-05-01T16:00Z,252,251,high
2022-05-01T16:30Z,251,254,high
2022-05-01T17:00Z,256,256,high
2022-05-01T17:30Z,257,255,high
2022-05-01T18:00Z,258,258,high
2022-05-01T18:30Z,260,256,high
2022-05-01T19:00Z,264,259,high
2022-05-01T19:30Z,263,259,high
2022-05-01T20:00Z,265,262,high
2022-05-01T20:30Z,262,266,high
2022-05-01T21:00Z,264,266,high
2022-05-01T21:30Z,264,265,high
2022-05-01T22:00Z,268,259,high
2022-05-01T22:30Z,264,265,high
2022-05-01T23:00Z,267,262,high
2022-05-01T23:30Z,268,261,high
2022-05-02T00:00Z,267,267,high
2022-05-02T00:30Z,269,270,high
2022-05-02T01:00Z,269,263,high
2022-05-02T01:30Z,270,264,high
2022-05-02T02:00Z,272,268,high
2022-05-02T02:30Z,271,268,high
2022-05-02T03:00Z,271,268,high
2022-05-02T03:30Z,271,267,high
2022-05-02T04:00Z,271,269,high
2022-05-02T04:30Z,272,275,high
2022-05-02T05:00Z,274,269,high
2022-05-02T05:30Z,275,271,high
2022-05-02T06:00Z,274,272,high
2022-05-02T06:30Z,273,274,high
2022-05-02T07:00Z,270,272,high
2022-05-02T07:30Z,264,272,high
2022-05-02T08:00Z,262,269,high
2022-05-02T08:30Z,256,267,high
2022-05-02T09:00Z,255,258,high
2022-05-02T09:30Z,252,254,high
2022-05-02T10:00Z,251,252,high
2022-05-02T10:30Z,248,252,high
2022-05-02T11:00Z,243,249,high
2022-05-02T11:30Z,243,251,high
2022-05-02T12:00Z,244,244,high
2022-05-02T12:30Z,243,248,high
2022-05-02T13:00Z,246,247,high
2022-05-02T13:30Z,246,245,high
2022-05-02T14:00Z,250,247,high
2022-05-02T14:30Z,254,248,high
2022-05-02T15:00Z,255,252,high
2022-05-02T15:30Z,253,257,high
2022-05-02T16:00Z,248,254,high
2022-05-02T16:30Z,249,253,high
2022-05-02T17:00Z,248,248,high
2022-05-02T17:30Z,244,246,high
2022-05-02T18:00Z,247,248,high
2022-05-02T18:30Z,246,247,high
2022-05-02T19:00Z,246,245,high
2022-05-02T19:30Z,247,250,high
2022-05-02T20:00Z,245,249,high
2022-05-02T20:30Z,250,249,high
2022-05-02T21:00Z,252,248,high
2022-05-02T21:30Z,253,248,high
2022-05-02T22:00Z,250,252,high
2022-05-02T22:30Z,257,252,high
2022-05-02T23:00Z,256,252,high
2022-05-02T23:30Z,257,254,high
2022-05-03T00:00Z,259,258,high
2022-05-03T00:30Z,259,258,high
2022-05-03T01:00Z,261,262,high
2022-05-03T01:30Z,262,259,high
2022-05-03T02:00Z,263,258,high
2022-05-03T02:30Z,263,259,high
2022-05-03T03:00Z,263,260,high
2022-05-03T03:30Z,264,263,high
2022-05-03T04:00Z,260,262,high
2022-05-03T04:30Z,260,262,high
2022-05-03T05:00Z,261,264,high
2022-05-03T05:30Z,260,263,high
2022-05-03T06:00Z,258,262,high
2022-05-03T06:30Z,249,259,high
2022-05-03T07:00Z,247,257,high
2022-05-03T07:30Z,248,248,high
2022-05-03T08:00Z,245,244,high
2022-05-03T08:30Z,245,247,high
2022-05-03T09:00Z,244,244,high
2022-05-03T09:30Z,241,235,high
2022-05-03T10:00Z,240,242,high
2022-05-03T10:30Z,233,238,high
2022-05-03T11:00Z,227,238,high
2022-05-03T11:30Z,224,233,high
2022-05-03T12:00Z,223,230,high
2022-05-03T12:30Z,229,228,high
2022-05-03T13:00Z,229,230,high
2022-05-03T13:30Z,234,235,high
2022-05-03T14:00Z,236,235,high
2022-05-03T14:30Z,240,243,high
2022-05-03T15:00Z,242,238,high
2022-05-03T15:30Z,241,245,high
2022-05-03T16:00Z,243,241,high
2022-05-03T16:30Z,245,248,high
2022-05-03T17:00Z,245,245,high
2022-05-03T17:30Z,249,252,high
2022-05-03T18:00Z,252,250,high
2022-05-03T18:30Z,255,249,high
2022-05-03T19:00Z,255,251,high
2022-05-03T19:30Z,260,262,high
2022-05-03T20:00Z,259,260,high
2022-05-03T20:30Z,263,263,high
2022-05-03T21:00Z,264,263,high
2022-05-03T21:30Z,270,264,high
2022-05-03T22:00Z,265,265,high
2022-05-03T22:30Z,261,261,high
2022-05-03T23:00Z,253,256,high
2022-05-03T23:30Z,253,255,high
2022-05-04T00:00Z,251,252,high
2022-05-04T00:30Z,254,252,high
2022-05-04T01:00Z,251,251,high
2022-05-04T01:30Z,245,252,high
2022-05-04T02:00Z,242,249,high
2022-05-04T02:30Z,242,245,high
2022-05-04T03:00Z,241,238,high
2022-05-04T03:30Z,240,235,high
2022-05-04T04:00Z,239,242,high
2022-05-04T04:30Z,243,239,high
2022-05-04T05:00Z,245,244,high
2022-05-04T05:30Z,253,245,high
2022-05-04T06:00Z,255,246,high
2022-05-04T06:30Z,248,252,high
2022-05-04T07:00Z,241,253,high
2022-05-04T07:30Z,236,244,high
2022-05-04T08:00Z,230,234,high
2022-05-04T08:30Z,231,226,high
2022-05-04T09:00Z,226,219,high
2022-05-04T09:30Z,223,219,high
2022-05-04T10:00Z,215,218,high
2022-05-04T10:30Z,205,219,moderate
2022-05-04T11:00Z,200,209,moderate
2022-05-04T11:30Z,201,202,moderate
2022-05-04T12:00Z,203,198,moderate
2022-05-04T12:30Z,204,199,moderate
2022-05-04T13:00Z,198,200,moderate
2022-05-04T13:30Z,198,201,moderate
2022-05-04T14:00Z,194,186,moderate
2022-05-04T14:30Z,196,193,moderate
2022-05-04T15:00Z,203,203,moderate
2022-05-04T15:30Z,201,197,moderate
2022-05-04T16:00Z,205,199,moderate
2022-05-04T16:30Z,212,204,high
2022-05-04T17:00Z,215,209,high
2022-05-04T17:30Z,215,215,high
2022-05-04T18:00Z,220,221,high
2022-05-04T18:30Z,226,218,high
2022-05-04T19:00Z,227,222,high
2022-05-04T19:30Z,233,229,high
2022-05-04T20:00Z,232,229,high
2022-05-04T20:30Z,233,237,high
2022-05-04T21:00Z,239,232,high
2022-05-04T21:30Z,247,231,high
2022-05-04T22:00Z,245,231,high
2022-05-04T22:30Z,238,241,high
2022-05-04T23:00Z,236,233,high
2022-05-04T23:30Z,236,234,high
2022-05-05T00:00Z,236,235,high
2022-05-05T00:30Z,237,238,high
2022-05-05T01:00Z,241,241,high
2022-05-05T01:30Z,243,241,high
2022-05-05T02:00Z,242,238,high
2022-05-05T02:30Z,244,234,high
2022-05-05T03:00Z,245,242,high
2022-05-05T03:30Z,246,241,high
2022-05-05T04:00Z,246,246,high
2022-05-05T04:30Z,248,251,high
2022-05-05T05:00Z,246,247,high
2022-05-05T05:30Z,248,247,high
2022-05-05T06:00Z,251,245,high
2022-05-05T06:30Z,243,243,high
2022-05-05T07:00Z,238,243,high
2022-05-05T07:30Z,238,236,high
2022-05-05T08:00Z,234,224,high
2022-05-05T08:30Z,232,226,high
2022-05-05T09:00Z,226,225,high
2022-05-05T09:30Z,219,217,high
2022-05-05T10:00Z,215,213,high
2022-05-05T10:30Z,209,209,moderate
2022-05-05T11:00Z,208,208,moderate
2022-05-05T11:30Z,207,206,moderate
2022-05-05T12:00Z,205,204,moderate
2022-05-05T12:30Z,203,203,moderate
2022-05-05T13:00Z,200,198,moderate
2022-05-05T13:30Z,202,202,moderate
2022-05-05T14:00Z,206,202,moderate
2022-05-05T14:30Z,208,203,moderate
2022-05-05T15:00Z,213,207,high
2022-05-05T15:30Z,216,212,high
2022-05-05T16:00Z,222,217,high
2022-05-05T16:30Z,221,222,high
2022-05-05T17:00Z,222,223,high
2022-05-05T17:30Z,220,222,high
2022-05-05T18:00Z,221,223,high
2022-05-05T18:30Z,223,223,high
2022-05-05T19:00Z,229,223,high
2022-05-05T19:30Z,233,225,high
2022-05-05T20:00Z,234,224,high
2022-05-05T20:30Z,240,228,high
2022-05-05T21:00Z,241,227,high
2022-05-05T21:30Z,235,228,high
2022-05-05T22:00Z,232,224,high
2022-05-05T22:30Z,230,227,high
2022-05-05T23:00Z,225,215,high
2022-05-05T23:30Z,221,212,high
2022-05-06T00:00Z,216,220,high
2022-05-06T00:30Z,208,218,moderate
2022-05-06T01:00Z,207,213,moderate
2022-05-06T01:30Z,206,202,moderate
2022-05-06T02:00Z,203,201,moderate
2022-05-06T02:30Z,202,201,moderate
2022-05-06T03:00Z,202,197,moderate
2022-05-06T03:30Z,200,199,moderate
2022-05-06T04:00Z,201,194,moderate
2022-05-06T04:30Z,202,199,moderate
2022-05-06T05:00Z,200,200,moderate
2022-05-06T05:30Z,202,216,moderate
2022-05-06T06:00Z,207,213,moderate
2022-05-06T06:30Z,211,214,high
2022-05-06T07:00Z,209,202,moderate
2022-05-06T07:30Z,200,208,moderate
2022-05-06T08:00Z,197,206,moderate
2022-05-06T08:30Z,192,199,moderate
2022-05-06T09:00Z,190,197,moderate
2022-05-06T09:30Z,186,172,moderate
2022-05-06T10:00Z,184,179,moderate
2022-05-06T10:30Z,182,183,moderate
2022-05-06T11:00Z,179,181,moderate
2022-05-06T11:30Z,177,185,moderate
2022-05-06T12:00Z,176,181,moderate
2022-05-06T12:30Z,173,180,moderate
2022-05-06T13:00Z,174,182,moderate
2022-05-06T13:30Z,176,178,moderate
2022-05-06T14:00Z,183,179,moderate
2022-05-06T14:30Z,188,182,moderate
2022-05-06T15:00Z,195,198,moderate
2022-05-06T15:30Z,200,195,moderate
2022-05-06T16:00Z,205,198,moderate
2022-05-06T16:30Z,210,205,high
2022-05-06T17:00Z,216,205,high
2022-05-06T17:30Z,222,209,high
2022-05-06T18:00Z,230,214,high
2022-05-06T18:30Z,232,211,high
2022-05-06T19:00Z,235,228,high
2022-05-06T19:30Z,239,230,high
2022-05-06T20:00Z,240,235,high
2022-05-06T20:30Z,246,236,high
2022-05-06T21:00Z,242,235,high
2022-05-06T21:30Z,247,237,high
2022-05-06T22:00Z,250,240,high
2022-05-06T22:30Z,253,231,high
2022-05-06T23:00Z,259,246,high
2022-05-06T23:30Z,268,253,high
2022-05-07T00:00Z,269,253,high
2022-05-07T00:30Z,272,267,high
2022-05-07T01:00Z,274,266,high
2022-05-07T01:30Z,276,273,high
2022-05-07T02:00Z,279,273,high
2022-05-07T02:30Z,279,277,high
2022-05-07T03:00Z,278,278,high
2022-05-07T03:30Z,274,278,high
2022-05-07T04:00Z,276,276,high
2022-05-07T04:30Z,280,273,high
2022-05-07T05:00Z,280,273,high
2022-05-07T05:30Z,278,278,high
2022-05-07T06:00Z,276,280,high
2022-05-07T06:30Z,271,274,high
2022-05-07T07:00Z,265,272,high
2022-05-07T07:30Z,258,267,high
2022-05-07T08:00Z,253,260,high
2022-05-07T08:30Z,249,253,high
2022-05-07T09:00Z,242,247,high
2022-05-07T09:30Z,237,246,high
2022-05-07T10:00Z,232,238,high
2022-05-07T10:30Z,230,226,high
2022-05-07T11:00Z,227,229,high
2022-05-07T11:30Z,231,229,high
2022-05-07T12:00Z,229,225,high
2022-05-07T12:30Z,234,221,high
2022-05-07T13:00Z,231,227,high
2022-05-07T13:30Z,231,227,high
2022-05-07T14:00Z,230,227,high
2022-05-07T14:30Z,233,230,high
2022-05-07T15:00Z,231,229,high
2022-05-07T15:30Z,234,238,high
2022-05-07T16:00Z,237,235,high
2022-05-07T16:30Z,238,233,high
2022-05-07T17:00Z,244,236,high
2022-05-07T17:30Z,242,240,high
2022-05-07T18:00Z,244,242,high
2022-05-07T18:30Z,249,243,high
2022-05-07T19:00Z,255,245,high
2022-05-07T19:30Z,255,250,high
2022-05-07T20:00Z,254,256,high
2022-05-07T20:30Z,255,257,high
2022-05-07T21:00Z,256,254,high
2022-05-07T21:30Z,254,257,high
2022-05-07T22:00Z,257,253,high
2022-05-07T22:30Z,248,247,high
2022-05-07T23:00Z,241,249,high
2022-05-07T23:30Z,238,240,high
2022-05-08T00:00Z,234,230,high
2022-05-08T00:30Z,236,227,high
2022-05-08T01:00Z,237,221,high
2022-05-08T01:30Z,240,227,high
2022-05-08T02:00Z,241,226,high
2022-05-08T02:30Z,241,234,high
2022-05-08T03:00Z,241,228,high
2022-05-08T03:30Z,240,238,high
2022-05-08T04:00Z,238,238,high
2022-05-08T04:30Z,230,238,high
2022-05-08T05:00Z,226,233,high
2022-05-08T05:30Z,223,231,high
2022-05-08T06:00Z,222,225,high
2022-05-08T06:30Z,218,228,high
2022-05-08T07:00Z,216,215,high
2022-05-08T07:30Z,210,211,high
2022-05-08T08:00Z,206,201,moderate
2022-05-08T08:30Z,197,205,moderate
2022-05-08T09:00Z,189,195,moderate
2022-05-08T09:30Z,183,183,moderate
2022-05-08T10:00Z,174,169,moderate
2022-05-08T10:30Z,164,165,moderate
2022-05-08T11:00Z,160,157,moderate
2022-05-08T11:30Z,153,151,moderate
2022-05-08T12:00Z,151,150,moderate
2022-05-08T12:30Z,142,146,moderate
2022-05-08T13:00Z,139,151,moderate
2022-05-08T13:30Z,138,144,moderate
2022-05-08T14:00Z,137,147,moderate
2022-05-08T14:30Z,159,141,moderate
2022-05-08T15:00Z,160,132,moderate
2022-05-08T15:30Z,177,154,moderate
2022-05-08T16:00Z,190,188,moderate
